Punto;Distancia;x mE;y mN;z;join_Lito
1;0;355956.7714;2834366.287;780;Lutita-Arenisca
2;24.00084868;355976.7579;2834379.575;780;Lutita-Arenisca
3;48.00169735;355996.7444;2834392.864;780;Lutita-Arenisca
4;72.00254603;356016.7309;2834406.152;780;Lutita-Arenisca
5;96.00339471;356036.7174;2834419.44;780;Lutita-Arenisca
6;120.0042434;356056.7039;2834432.729;780;aluvion
7;144.0050921;356076.6905;2834446.017;780;aluvion
8;168.0059407;356096.677;2834459.305;780;aluvion
9;192.0067894;356116.6635;2834472.594;780;aluvion
10;216.0076381;356136.65;2834485.882;780;aluvion
11;240.0084868;356156.6365;2834499.17;780;aluvion
12;264.0093354;356176.6231;2834512.459;797.86;aluvion
13;288.0101841;356196.6096;2834525.747;800.42;aluvion
14;312.0110328;356216.5961;2834539.035;811.21;aluvion
15;336.0118815;356236.5826;2834552.324;813.51;aluvion
16;360.0127301;356256.5691;2834565.612;803.2;aluvion
17;384.0135788;356276.5556;2834578.9;799.78;aluvion
18;408.0144275;356296.5422;2834592.189;794.26;aluvion
19;432.0152762;356316.5287;2834605.477;789.97;aluvion
20;456.0161249;356336.5152;2834618.765;791.58;aluvion
21;480.0169735;356356.5017;2834632.054;792.6;aluvion
22;504.0178222;356376.4882;2834645.342;793.63;aluvion
23;528.0186709;356396.4748;2834658.63;796.38;aluvion
24;552.0195196;356416.4613;2834671.919;797.4;Caliza
25;576.0203682;356436.4478;2834685.207;798.43;Caliza
26;600.0212169;356456.4343;2834698.495;800;Caliza
27;624.0220656;356476.4208;2834711.784;800;Caliza
28;648.0229143;356496.4074;2834725.072;800.91;Caliza
29;672.0237629;356516.3939;2834738.36;803.94;Caliza
30;696.0246116;356536.3804;2834751.649;811.71;Caliza
31;720.0254603;356556.3669;2834764.937;818.69;Caliza
32;744.026309;356576.3534;2834778.225;821.49;Caliza
33;768.0271576;356596.3399;2834791.514;831.21;Caliza
34;792.0280063;356616.3265;2834804.802;836.74;Caliza
35;816.028855;356636.313;2834818.09;840;Caliza
36;840.0297037;356656.2995;2834831.379;837.28;Caliza
37;864.0305524;356676.286;2834844.667;823.45;Caliza
38;888.031401;356696.2725;2834857.955;824.7;Caliza
39;912.0322497;356716.2591;2834871.244;828.01;Caliza
40;936.0330984;356736.2456;2834884.532;828.41;Caliza
41;960.0339471;356756.2321;2834897.82;831.93;Caliza
42;984.0347957;356776.2186;2834911.109;832.33;Caliza
43;1008.035644;356796.2051;2834924.397;835.73;Caliza
44;1032.036493;356816.1916;2834937.685;838.09;Caliza
45;1056.037342;356836.1782;2834950.974;842.33;Caliza
46;1080.03819;356856.1647;2834964.262;846.64;Caliza
47;1104.039039;356876.1512;2834977.55;849.11;Caliza
48;1128.039888;356896.1377;2834990.839;853.43;Caliza
49;1152.040736;356916.1242;2835004.127;857.76;Caliza
50;1176.041585;356936.1108;2835017.415;860;Caliza
51;1200.042434;356956.0973;2835030.704;863.01;Caliza
52;1224.043282;356976.0838;2835043.992;869.24;Caliza
53;1248.044131;356996.0703;2835057.28;872.93;Caliza
54;1272.04498;357016.0568;2835070.569;879.26;Caliza
55;1296.045829;357036.0433;2835083.857;884.31;Caliza
56;1320.046677;357056.0299;2835097.145;889.45;Caliza
57;1344.047526;357076.0164;2835110.434;895.67;Caliza
58;1368.048375;357096.0029;2835123.722;902.62;Lutita-Arenisca
59;1392.049223;357115.9894;2835137.01;907.43;Lutita-Arenisca
60;1416.050072;357135.9759;2835150.299;914.99;Lutita-Arenisca
61;1440.050921;357155.9625;2835163.587;923.38;Lutita-Arenisca
62;1464.051769;357175.949;2835176.875;928.22;Lutita-Arenisca
63;1488.052618;357195.9355;2835190.164;936.99;Lutita-Arenisca
64;1512.053467;357215.922;2835203.452;946.41;Lutita-Arenisca
65;1536.054315;357235.9085;2835216.74;950.55;Lutita-Arenisca
66;1560.055164;357255.8951;2835230.029;959.5;Lutita-Arenisca
67;1584.056013;357275.8816;2835243.317;969.87;Lutita-Arenisca
68;1608.056861;357295.8681;2835256.605;974.67;Lutita-Arenisca
69;1632.05771;357315.8546;2835269.894;986.69;Lutita-Arenisca
70;1656.058559;357335.8411;2835283.182;1000.98;Lutita-Arenisca
71;1680.059407;357355.8276;2835296.47;1009.47;Lutita-Arenisca
72;1704.060256;357375.8142;2835309.759;1023.97;Lutita-Arenisca
73;1728.061105;357395.8007;2835323.047;1038.32;Lutita-Arenisca
74;1752.061953;357415.7872;2835336.335;1051.06;Caliza
75;1776.062802;357435.7737;2835349.624;1067.83;Caliza
76;1800.063651;357455.7602;2835362.912;1084.85;Caliza
77;1824.064499;357475.7468;2835376.2;1096.67;Caliza
78;1848.065348;357495.7333;2835389.489;1116.08;Caliza
79;1872.066197;357515.7198;2835402.777;1139.05;Caliza
80;1896.067045;357535.7063;2835416.065;1156.75;Caliza
81;1920.067894;357555.6928;2835429.354;1184.96;Caliza
82;1944.068743;357575.6793;2835442.642;1219.18;Caliza
83;1968.069591;357595.6659;2835455.93;1237.81;Caliza
84;1992.07044;357615.6524;2835469.219;1275.09;Caliza
85;2016.071289;357635.6389;2835482.507;1314.55;Caliza
86;2040.072137;357655.6254;2835495.795;1331.51;Caliza
87;2064.072986;357675.6119;2835509.084;1379.42;Caliza
88;2088.073835;357695.5985;2835522.372;1435.87;Caliza
89;2112.074684;357715.585;2835535.66;1458.45;Caliza
90;2136.075532;357735.5715;2835548.949;1516.59;Caliza
91;2160.076381;357755.558;2835562.237;1570.64;Caliza
92;2184.07723;357775.5445;2835575.525;1590.8;Caliza
93;2208.078078;357795.5311;2835588.814;1637.05;Caliza
94;2232.078927;357815.5176;2835602.102;1676.39;Caliza
95;2256.079776;357835.5041;2835615.39;1683.29;Caliza
96;2280.080624;357855.4906;2835628.679;1693;Caliza
97;2304.081473;357875.4771;2835641.967;1681.16;Caliza
98;2328.082322;357895.4636;2835655.255;1671.08;Caliza
99;2352.08317;357915.4502;2835668.544;1653.54;Caliza
100;2376.084019;357935.4367;2835681.832;1634.32;Caliza
101;2400.084868;357955.4232;2835695.12;1627.97;Caliza
102;2424.085716;357975.4097;2835708.409;1608.31;Caliza
103;2448.086565;357995.3962;2835721.697;1586.66;Caliza
104;2472.087414;358015.3828;2835734.985;1580.74;Caliza
105;2496.088262;358035.3693;2835748.274;1557.67;Caliza
106;2520.089111;358055.3558;2835761.562;1532.65;Caliza
107;2544.08996;358075.3423;2835774.85;1527.6;Caliza
108;2568.090808;358095.3288;2835788.139;1504.25;Caliza
109;2592.091657;358115.3153;2835801.427;1483.81;Caliza
110;2616.092506;358135.3019;2835814.715;1480.41;Caliza
111;2640.093354;358155.2884;2835828.004;1461.11;Caliza
112;2664.094203;358175.2749;2835841.292;1441.77;Caliza
113;2688.095052;358195.2614;2835854.58;1435.37;Caliza
114;2712.0959;358215.2479;2835867.869;1413.62;Caliza
115;2736.096749;358235.2345;2835881.157;1391.87;Caliza
116;2760.097598;358255.221;2835894.445;1383.88;Caliza
117;2784.098446;358275.2075;2835907.734;1360.32;Caliza
118;2808.099295;358295.194;2835921.022;1336.03;Caliza
119;2832.100144;358315.1805;2835934.31;1326.57;Caliza
120;2856.100992;358335.167;2835947.599;1302.12;Caliza
121;2880.101841;358355.1536;2835960.887;1277.76;Caliza
122;2904.10269;358375.1401;2835974.175;1270.66;Caliza
123;2928.103539;358395.1266;2835987.464;1252.03;Caliza
124;2952.104387;358415.1131;2836000.752;1235.69;Caliza
125;2976.105236;358435.0996;2836014.04;1235.74;Caliza
126;3000.106085;358455.0862;2836027.329;1214.71;Caliza
127;3024.106933;358475.0727;2836040.617;1192.82;Caliza
128;3048.107782;358495.0592;2836053.905;1185.34;lutita-limolita-cali
129;3072.108631;358515.0457;2836067.194;1165.21;lutita-limolita-cali
130;3096.109479;358535.0322;2836080.482;1144.88;lutita-limolita-cali
131;3120.110328;358555.0188;2836093.77;1137.29;lutita-limolita-cali
132;3144.111177;358575.0053;2836107.059;1118.94;lutita-limolita-cali
133;3168.112025;358594.9918;2836120.347;1101.64;lutita-limolita-cali
134;3192.112874;358614.9783;2836133.635;1096.05;lutita-limolita-cali
135;3216.113723;358634.9648;2836146.924;1079.41;lutita-limolita-cali
136;3240.114571;358654.9513;2836160.212;1062.78;lutita-limolita-cali
137;3264.11542;358674.9379;2836173.5;1059.25;lutita-limolita-cali
138;3288.116269;358694.9244;2836186.789;1048.29;lutita-limolita-cali
139;3312.117117;358714.9109;2836200.077;1037.76;lutita-limolita-cali
140;3336.117966;358734.8974;2836213.365;1037.14;lutita-limolita-cali
141;3360.118815;358754.8839;2836226.654;1031.43;lutita-limolita-cali
142;3384.119663;358774.8705;2836239.942;1025.04;lutita-limolita-cali
143;3408.120512;358794.857;2836253.23;1024.63;lutita-limolita-cali
144;3432.121361;358814.8435;2836266.519;1019.88;lutita-limolita-cali
145;3456.122209;358834.83;2836279.807;1016.73;lutita-limolita-cali
146;3480.123058;358854.8165;2836293.095;1017.24;lutita-marga
147;3504.123907;358874.803;2836306.384;1015.3;lutita-marga
148;3528.124755;358894.7896;2836319.672;1013.78;lutita-marga
149;3552.125604;358914.7761;2836332.96;1014.51;lutita-marga
150;3576.126453;358934.7626;2836346.249;1011.42;lutita-marga
151;3600.127301;358954.7491;2836359.537;1009.42;lutita-marga
152;3624.12815;358974.7356;2836372.825;1004.04;lutita-marga
153;3648.128999;358994.7222;2836386.114;1000;lutita-marga
154;3672.129847;359014.7087;2836399.402;1000;lutita-marga
155;3696.130696;359034.6952;2836412.69;997.5;lutita-marga
156;3720.131545;359054.6817;2836425.979;996.78;lutita-marga
157;3744.132394;359074.6682;2836439.267;1003.65;lutita-marga
158;3768.133242;359094.6547;2836452.555;1003.33;lutita-marga
159;3792.134091;359114.6413;2836465.844;1001.05;lutita-marga
160;3816.13494;359134.6278;2836479.132;1001.85;lutita-marga
